Fuel_Type,body_type,kms_driven,transmission_type,owner_No,manufacturer,model,Manufacture_year,price,Insurance Validity,Mileage,Engine,Max Power,Torque,Seats
Petrol,Hatchback,32184.0,Automatic,2,Maruti,Maruti Baleno,2019,843000.0,Third Party,21.4,1197.0,83.1,115.0,5
Petrol,Hatchback,32279.0,Manual,1,Maruti,Maruti Baleno RS,2018,799000.0,Comprehensive,21.1,998.0,100.5,150.0,5
Petrol,Hatchback,59698.0,Manual,1,Hyundai,Hyundai i20,2015,576000.0,Comprehensive,18.6,1197.0,81.83,114.7,5
Diesel,SUV,46071.0,Manual,1,Renault,Renault Captur,2018,949000.0,Comprehensive,20.37,1461.0,108.45,240.0,5
Diesel,SUV,90000.0,Manual,1,Maruti,Maruti Vitara Brezza,2017,795000.0,Third Party insurance,24.3,1248.0,88.5,200.0,5
Petrol,SUV,9554.0,Manual,1,Hyundai,Hyundai Venue,2019,1085000.0,Third Party,18.27,998.0,118.35,171.6,5
Petrol,SUV,14000.0,Automatic,1,Jeep,Jeep Compass,2022,2590000.0,Comprehensive,14.1,1368.0,160.77,250.0,5
Diesel,SUV,74499.0,Manual,2,Renault,Renault Duster,2013,516000.0,Third Party,20.45,1461.0,83.8,200.0,5
Petrol,SUV,56211.0,Automatic,2,Ford,Ford Ecosport,2017,777000.0,Comprehensive,14.8,1497.0,121.36,150.0,5
Petrol,Hatchback,9001.0,Manual,1,Honda,Honda Jazz,2019,753000.0,Comprehensive,18.2,1199.0,88.7,110.0,5
Diesel,SUV,65457.0,Automatic,2,Mahindra,Mahindra XUV500,2017,1226000.0,Third Party insurance,16.0,1997.0,140.0,320.0,7
Petrol,Hatchback,23682.0,Manual,1,Honda,Honda Jazz,2017,725000.0,Comprehensive,18.7,1199.0,88.7,110.0,5
Diesel,Sedan,50000.0,Manual,1,Hyundai,Hyundai Verna,2020,1150000.0,Third Party insurance,22.0,1582.0,126.2,259.87,5
Diesel,Hatchback,134557.0,Manual,2,Maruti,Maruti Swift,2015,629000.0,Comprehensive,25.2,1248.0,74.0,190.0,5
Petrol,Sedan,96567.0,Manual,2,Maruti,Maruti Swift Dzire,2013,447000.0,Comprehensive,22.41,1197.0,88.5,113.0,5
Petrol,Hatchback,120000.0,Manual,3,Maruti,Maruti Celerio,2015,400000.0,Third Party insurance,23.1,998.0,67.04,90.0,5
Diesel,MUV,83007.0,Manual,2,Maruti,Maruti Ertiga,2014,786000.0,Comprehensive,20.77,1248.0,88.8,200.0,7
Petrol,Hatchback,34000.0,Manual,1,Honda,Honda Jazz,2018,745000.0,Comprehensive,18.7,1199.0,88.7,110.0,5
Petrol,Hatchback,81634.0,Automatic,1,Hyundai,Hyundai Grand i10,2014,490000.00000000006,Comprehensive,18.9,1197.0,82.0,114.0,5
Petrol,Sedan,57284.0,Automatic,2,Honda,Honda City,2017,942000.0,Comprehensive,18.0,1497.0,117.6,145.0,5
Petrol,SUV,70000.0,Automatic,2,Ford,Ford Ecosport,2016,675000.0,Third Party insurance,15.63,1499.0,110.4,140.0,5
Petrol,Hatchback,70000.0,Manual,2,Honda,Honda Brio,2013,330000.0,Third Party insurance,19.4,1198.0,86.8,109.0,5
Petrol,Sedan,46429.0,Automatic,2,Toyota,Toyota Yaris,2018,875000.0,Third Party insurance,17.8,1496.0,105.5,140.0,5
Petrol,Hatchback,17624.0,Manual,1,Maruti,Maruti Baleno,2017,869000.0,Comprehensive,21.4,1197.0,83.1,115.0,5
Diesel,Sedan,100000.0,Manual,2,Volkswagen,Volkswagen Vento,2012,425000.0,Third Party insurance,20.54,1598.0,103.6,250.0,5
Petrol,Sedan,30000.0,Manual,1,Honda,Honda City,2019,1070000.0,Third Party insurance,17.4,1497.0,117.6,145.0,5
Petrol,SUV,49690.0,Manual,2,Ford,Ford Ecosport,2018,1025000.0,Third Party insurance,15.9,1496.0,120.69,149.0,5
Diesel,SUV,110000.0,Manual,1,Mahindra,Mahindra XUV500,2016,1000000.0,Third Party insurance,16.0,2179.0,140.0,330.0,7
Petrol,Sedan,50000.0,Manual,1,Fiat,Fiat Linea,2009,375000.0,Third Party insurance,16.0,1368.0,90.0,115.0,5
Petrol,Sedan,50000.0,Manual,1,Fiat,Fiat Linea,2009,375000.0,Third Party insurance,16.0,1368.0,90.0,115.0,5
Petrol,SUV,55702.0,Automatic,1,Ford,Ford Ecosport,2018,844000.0,Comprehensive,14.8,1497.0,121.36,150.0,5
Diesel,Hatchback,45046.0,Manual,1,Hyundai,Hyundai i20 Active,2016,764000.0,Third Party insurance,21.19,1396.0,88.73,220.0,5
Petrol,Hatchback,53000.0,Manual,2,Maruti,Maruti Ritz,2014,420000.0,Third Party insurance,18.5,1197.0,85.8,114.0,5
Diesel,Hatchback,94695.0,Manual,1,Maruti,Maruti Baleno,2016,684000.0,Third Party insurance,27.39,1248.0,74.0,190.0,5
